x_data_0,x_data_1,y_data
0.789217137,0.6074059,0
-0.929399886,-0.466626667,0
0.329658881,-0.961836586,0
-0.993068018,0.458146522,0
0.222797153,-1.002756233,0
-0.959255047,0.187771068,0
0.830338958,-0.568976266,0
0.149590133,0.354320925,1
1.003631298,0.112186855,0
0.03868995,-0.311703028,1
-0.228615826,0.168781117,1
1.060762438,-0.21697464,0
0.446341463,-0.09407853,1
-1.032953158,-0.057458317,0
-0.121249032,0.249922747,1
-0.289442049,0.078999107,1
0.083091669,-0.942669974,0
-0.873200564,0.40266987,0
0.60679755,-0.833062124,0
-0.45734978,0.865984927,0
-0.451325642,-1.049546843,0
0.006573533,0.234321329,1
-0.345253996,0.112461354,1
-0.215097041,0.22856818,1
0.472188704,0.935720584,0
0.386905413,0.249463074,1
-0.095884499,-0.221135513,1
-1.01853788,-0.267111928,0
0.995581991,0.101425439,0
-0.976223451,-0.135171783,0
0.889812218,-0.430738109,0
-0.33115302,0.04047747,1
0.270925622,-0.079947491,1
0.843746722,0.502958234,0
-0.390045891,-0.831479755,0
-0.861873828,-0.560813831,0
-0.709029231,-0.710444107,0
-0.262899223,-0.126360206,1
0.1104525,-0.305551527,1
0.758681732,-0.572521892,0
-0.110049435,1.101848953,0
0.31155985,-0.155733865,1
0.258009215,-0.013065068,1
-0.518909064,0.825445474,0
-0.977908144,0.314441785,0
0.275503302,0.15391094,1
-0.005330495,-1.0246077,0
-0.767636231,0.576500799,0
-0.23715375,-0.142889999,1
0.121337401,-0.311438379,1
0.426228484,-0.884548381,0
-0.136153495,0.320920219,1
1.02818797,0.249870822,0
-0.023728155,-0.249103486,1
-0.776595918,0.522112485,0
-0.616704037,0.834159814,0
0.018818818,0.274743282,1
-0.896554194,-0.363305527,0
-0.229450898,-0.192427901,1
-0.979091966,-0.166003445,0
0.277766694,-0.047901899,1
0.15208664,-0.316927826,1
-0.274125054,0.159203185,1
-0.190073224,-0.136362349,1
-0.273821884,0.183480884,1
-0.983511773,-0.175187676,0
-0.37500956,0.816794353,0
-0.296306427,0.019398748,1
0.272378107,0.254577544,1
0.941925891,0.2481217,0
0.142903354,0.232808802,1
-0.96454751,0.397661507,0
-1.050941091,-0.070356414,0
-0.59093601,0.739968626,0
0.103477569,-0.257780522,1
0.151101611,0.15739957,1
-0.28484059,-0.182496478,1
0.968248152,-0.355225312,0
-0.055554775,-0.326191274,1
-0.651700499,0.653300058,0
-0.220341918,0.078807395,1
-0.242808548,0.230859172,1
0.240629592,0.165884833,1
-0.859950041,0.40666887,0
0.213004303,0.181527237,1
-0.357034334,-0.967032694,0
0.477732952,0.822241544,0
0.497293024,0.873090543,0
-0.389603966,-0.073763563,1
-0.300438447,-0.079849897,1
0.325775986,-0.032699002,1
0.071337954,-0.376385526,1
0.897152774,-0.354832434,0
-0.23118414,0.188487771,1
0.248807761,0.098175297,1
0.998803356,0.348728218,0
-0.033466535,-0.361631181,1
-0.289835486,-0.095342614,1
-0.045489439,0.317551737,1
0.751598325,-0.648944848,0
0.568963903,-0.789370271,0
-0.797432925,-0.536741502,0
-0.113062664,-0.249736216,1
-0.131528113,0.234570369,1
0.957941781,-0.106385811,0
-1.005519499,0.190407654,0
-0.959494945,0.537320116,0
-0.329803744,-0.075090571,1
0.112435056,0.993446997,0
-0.216142106,0.995500403,0
0.960350774,-0.206914177,0
0.226348334,0.987991038,0
0.425881611,0.873869992,0
0.228002819,0.140224079,1
-0.187323972,0.255857608,1
0.070889463,-0.251107851,1
0.110241737,-0.300578191,1
1.03041955,-0.004591435,0
0.154284129,-0.296468439,1
-0.878166336,-0.501102212,0
0.957942283,0.274556032,0
-0.061918264,0.380971192,1
-0.157529982,-0.318054545,1
0.874989082,0.431336318,0
0.100057996,0.369424217,1
0.474925209,0.927453266,0
0.07308768,-0.962467866,0
0.080462482,-0.175064722,1
0.318772977,-0.006162673,1
-0.184467509,0.333450569,1
-0.214239578,-0.16134645,1
-0.313194189,0.123376324,1
-0.960886844,0.0210381,0
-0.11748195,-0.227896578,1
-0.173696978,-0.17654986,1
-0.774077573,0.509743696,0
-0.910844365,0.382599105,0
0.348456536,0.049482963,1
0.830351894,-0.711176207,0
0.148341948,-0.252080336,1
-0.13018646,-0.267759715,1
-0.932794433,-0.238703807,0
0.323399067,0.123666698,1
-0.962605325,-0.286860094,0
0.221496782,0.228042728,1
-0.261986376,0.006139085,1
-0.002402485,-0.198015915,1
-0.498600591,-0.860974011,0
0.352890087,0.098809031,1
0.950148316,0.17922215,0
0.542679768,-0.881260189,0
0.816315436,0.665946241,0
0.338506387,0.21838175,1
0.977602289,0.397416471,0
0.162826769,0.248166277,1
-0.647145467,0.737896571,0
-0.778793918,0.620405838,0
-0.101589017,0.273834887,1
0.089033224,-0.331133992,1
-0.990653059,0.4847674,0
0.253695618,-0.256851077,1
0.866360765,-0.497829716,0
-0.845952092,0.470317638,0
-0.121243621,0.297607832,1
0.780817082,-0.558005579,0
0.422069827,-0.860350149,0
0.080284544,-0.295388987,1
-0.046843361,0.277734508,1
-0.23862749,-0.087282953,1
0.870915508,-0.553152634,0
-0.005271605,1.007146096,0
-0.191257667,-1.084728362,0
-0.06689637,-0.179403738,1
0.629404861,0.725736819,0
-0.95370659,-0.484195124,0
0.214783199,0.246681119,1
-0.089546996,-0.982869857,0
0.471120213,-0.907473291,0
0.097920496,-0.366015744,1
-0.027746842,0.303567996,1
1.00464356,0.200262862,0
-0.250829051,-0.903196563,0
-0.017526218,1.004078714,0
-0.063758449,-1.065385817,0
0.187397234,0.192454155,1
-0.082251031,-0.956735967,0
-0.6219372,-0.816713085,0
-0.140994202,0.288465413,1
0.157289698,0.949659193,0
-0.94078252,0.307232,0
-0.074717381,0.299542023,1
0.960872035,0.261071331,0
-0.939664174,0.323065191,0
-0.286218422,-0.043707981,1
0.078514465,0.264005952,1
-0.291189575,0.065237404,1
0.963771905,-0.347603257,0
-0.451327092,-0.870830214,0
0.287588456,0.070517363,1
-0.164395703,-0.165411038,1
0.236598847,0.154462314,1
-0.342635213,-0.925205563,0
0.244318701,0.098274023,1
-0.054457092,0.320497756,1
0.292686503,-0.043133926,1
0.228999272,-0.209877067,1
0.133131012,0.27721605,1
0.357476404,0.895878895,0
0.447628262,0.943536914,0
-0.965568271,-0.233710096,0
0.217984966,0.187326049,1
0.273480269,0.079629735,1
-0.233618802,-0.155732745,1
-0.47541162,0.847742161,0
0.352692306,0.916155452,0
-0.437290061,0.869114484,0
-0.818014713,-0.45727766,0
-0.03830387,-0.243182991,1
0.003022572,-0.246095501,1
-0.753112852,-0.622675816,0
0.261930101,0.028317834,1
-0.215837677,0.249291132,1
-0.926784137,-0.339026125,0
-0.057746102,0.239403016,1
0.26968858,-0.148815941,1
-0.388334974,-0.197569893,1
-0.093111854,0.316122707,1
-0.296297415,0.248620277,1
0.580861734,0.831129616,0
-1.021631707,0.013177527,0
-0.091483594,-0.236249268,1
0.213383313,-0.11366733,1
-0.040102501,-0.311869919,1
-0.02382015,0.307264594,1
-0.259045705,-0.820833962,0
0.927944042,0.373662806,0
-0.606588623,0.765597943,0
-0.271480426,-0.142262616,1
0.820070498,0.332942992,0
0.251686165,-0.936278433,0
